City,Date,PM2_5,PM10,AQI,AQI_Bucket,Year,Month,Month_name
Ahmedabad,29/01/2015,83.13,,209,Poor,2015,1,January
Ahmedabad,30/01/2015,79.84,,328,Very Poor,2015,1,January
Ahmedabad,04/02/2015,80.65,,294,Poor,2015,2,February
Ahmedabad,05/02/2015,58.36,,149,Moderate,2015,2,February
Ahmedabad,06/02/2015,79.29,,190,Moderate,2015,2,February
Ahmedabad,07/02/2015,88.7,,247,Poor,2015,2,February
Ahmedabad,08/02/2015,74.28,,379,Very Poor,2015,2,February
Ahmedabad,09/02/2015,113.93,,341,Very Poor,2015,2,February
Ahmedabad,10/02/2015,105.39,,256,Poor,2015,2,February
Ahmedabad,11/02/2015,66.52,,388,Very Poor,2015,2,February
Ahmedabad,12/02/2015,65.04,,288,Poor,2015,2,February
Ahmedabad,15/02/2015,113.25,,475,Severe,2015,2,February
Ahmedabad,17/02/2015,80.61,,479,Severe,2015,2,February
Ahmedabad,19/02/2015,107.99,,427,Severe,2015,2,February
Ahmedabad,24/02/2015,118.72,,411,Severe,2015,2,February
Ahmedabad,25/02/2015,52.99,,292,Poor,2015,2,February
Ahmedabad,02/03/2015,60.78,,189,Moderate,2015,3,March
Ahmedabad,03/03/2015,91.83,,408,Severe,2015,3,March
Ahmedabad,04/03/2015,93.88,,383,Very Poor,2015,3,March
Ahmedabad,08/03/2015,71.56,,190,Moderate,2015,3,March
Ahmedabad,09/03/2015,119.8,,233,Poor,2015,3,March
Ahmedabad,10/03/2015,106.71,,297,Poor,2015,3,March
Ahmedabad,11/03/2015,118.49,,330,Very Poor,2015,3,March
Ahmedabad,12/03/2015,106.01,,252,Poor,2015,3,March
Ahmedabad,13/03/2015,97.34,,244,Poor,2015,3,March
Ahmedabad,14/03/2015,83.92,,234,Poor,2015,3,March
Ahmedabad,15/03/2015,49.51,,219,Poor,2015,3,March
Ahmedabad,16/03/2015,30.76,,118,Moderate,2015,3,March
Ahmedabad,17/03/2015,50.29,,231,Poor,2015,3,March
Ahmedabad,18/03/2015,57.69,,286,Poor,2015,3,March
Ahmedabad,27/03/2015,147.38,,437,Severe,2015,3,March
Ahmedabad,28/03/2015,158.25,,321,Very Poor,2015,3,March
Ahmedabad,29/03/2015,237.76,,372,Very Poor,2015,3,March
Ahmedabad,30/03/2015,133.37,,339,Very Poor,2015,3,March
Ahmedabad,31/03/2015,133.3,,339,Very Poor,2015,3,March
Ahmedabad,01/04/2015,96.04,,324,Very Poor,2015,4,April
Ahmedabad,02/04/2015,77.69,,222,Poor,2015,4,April
Ahmedabad,03/04/2015,53.07,,169,Moderate,2015,4,April
Ahmedabad,04/04/2015,63.11,,220,Poor,2015,4,April
Ahmedabad,06/04/2015,120.96,,303,Very Poor,2015,4,April
Ahmedabad,07/04/2015,138.63,,314,Very Poor,2015,4,April
Ahmedabad,08/04/2015,144.36,,378,Very Poor,2015,4,April
Ahmedabad,09/04/2015,85.03,,415,Severe,2015,4,April
Ahmedabad,11/04/2015,61.06,,126,Moderate,2015,4,April
Ahmedabad,12/04/2015,39.42,,175,Moderate,2015,4,April
Ahmedabad,13/04/2015,111.86,,226,Poor,2015,4,April
Ahmedabad,14/04/2015,58.37,,244,Poor,2015,4,April
