City,Date,PM2.5,PM10,AQI,AQI_Bucket,,,,,,,,,,3146
Ahmedabad,1/29/2015,83.13,,209,Poor,,,,,,,,,,
Ahmedabad,1/30/2015,79.84,,328,Very Poor,,,,,,,,,,
Ahmedabad,1/31/2015,94.52,,514,Severe,,,,,,,,,,
Ahmedabad,2/1/2015,135.99,,782,Severe,,,,,,,,,,
Ahmedabad,2/2/2015,178.33,,914,Severe,,,,,,,,,,
Ahmedabad,2/3/2015,139.7,,660,Severe,,,,,,,,,,
Ahmedabad,2/4/2015,80.65,,294,Poor,,,,,,,,,,
Ahmedabad,2/5/2015,58.36,,149,Moderate,,,,,,,,,,
Ahmedabad,2/6/2015,79.29,,190,Moderate,,,,,,,,,,
Ahmedabad,2/7/2015,88.7,,247,Poor,,,,,,,,,,
Ahmedabad,2/8/2015,74.28,,379,Very Poor,,,,,,,,,,
Ahmedabad,2/9/2015,113.93,,341,Very Poor,,,,,,,,,,
Ahmedabad,2/10/2015,105.39,,256,Poor,,,,,,,,,,
Ahmedabad,2/11/2015,66.52,,388,Very Poor,,,,,,,,,,
Ahmedabad,2/12/2015,65.04,,288,Poor,,,,,,,,,,
Ahmedabad,2/13/2015,103.36,,510,Severe,,,,,,,,,,
Ahmedabad,2/14/2015,177.33,,761,Severe,,,,,,,,,,
Ahmedabad,2/15/2015,113.25,,475,Severe,,,,,,,,,,
Ahmedabad,2/16/2015,99.7,,536,Severe,,,,,,,,,,
Ahmedabad,2/17/2015,80.61,,479,Severe,,,,,,,,,,
Ahmedabad,2/18/2015,100.79,,592,Severe,,,,,,,,,,
Ahmedabad,2/19/2015,107.99,,427,Severe,,,,,,,,,,
Ahmedabad,2/20/2015,140.29,,588,Severe,,,,,,,,,,
Ahmedabad,2/21/2015,239.96,,1141,Severe,,,,,,,,,,
Ahmedabad,2/22/2015,142.96,,669,Severe,,,,,,,,,,
Ahmedabad,2/23/2015,238.41,,1247,Severe,,,,,,,,,,
Ahmedabad,2/24/2015,118.72,,411,Severe,,,,,,,,,,
Ahmedabad,2/25/2015,52.99,,292,Poor,,,,,,,,,,
Ahmedabad,3/2/2015,60.78,,189,Moderate,,,,,,,,,,
Ahmedabad,3/3/2015,91.83,,408,Severe,,,,,,,,,,
Ahmedabad,3/4/2015,93.88,,383,Very Poor,,,,,,,,,,
Ahmedabad,3/5/2015,173.01,,780,Severe,,,,,,,,,,
Ahmedabad,3/8/2015,71.56,,190,Moderate,,,,,,,,,,
Ahmedabad,3/9/2015,119.8,,233,Poor,,,,,,,,,,
Ahmedabad,3/10/2015,106.71,,297,Poor,,,,,,,,,,
Ahmedabad,3/11/2015,118.49,,330,Very Poor,,,,,,,,,,
Ahmedabad,3/12/2015,106.01,,252,Poor,,,,,,,,,,
Ahmedabad,3/13/2015,97.34,,244,Poor,,,,,,,,,,
Ahmedabad,3/14/2015,83.92,,234,Poor,,,,,,,,,,
Ahmedabad,3/15/2015,49.51,,219,Poor,,,,,,,,,,
Ahmedabad,3/16/2015,30.76,,118,Moderate,,,,,,,,,,
Ahmedabad,3/17/2015,50.29,,231,Poor,,,,,,,,,,
Ahmedabad,3/18/2015,57.69,,286,Poor,,,,,,,,,,
Ahmedabad,3/19/2015,105.06,,883,Severe,,,,,,,,,,
Ahmedabad,3/20/2015,94.1,,720,Severe,,,,,,,,,,
Ahmedabad,3/21/2015,111.89,,570,Severe,,,,,,,,,,
Ahmedabad,3/22/2015,108.59,,589,Severe,,,,,,,,,,
Ahmedabad,3/23/2015,130.76,,818,Severe,,,,,,,,,,
Ahmedabad,3/24/2015,143.55,,737,Severe,,,,,,,,,,
Ahmedabad,3/25/2015,165.07,,585,Severe,,,,,,,,,,
Ahmedabad,3/26/2015,166.85,,616,Severe,,,,,,,,,,
Ahmedabad,3/27/2015,147.38,,437,Severe,,,,,,,,,,
Ahmedabad,3/28/2015,158.25,,321,Very Poor,,,,,,,,,,
Ahmedabad,3/29/2015,237.76,,372,Very Poor,,,,,,,,,,
Ahmedabad,3/30/2015,133.37,,339,Very Poor,,,,,,,,,,
Ahmedabad,3/31/2015,133.3,,339,Very Poor,,,,,,,,,,
Ahmedabad,4/1/2015,96.04,,324,Very Poor,,,,,,,,,,
Ahmedabad,4/2/2015,77.69,,222,Poor,,,,,,,,,,
